,Unnamed: 0,Unnamed: 0.1,Unnamed: 33,congruent,corrAns,date,expName,feedback_2.started,feedback_2.stopped,frameRate,instr1.started,instr1.stopped,instrText.started,instrText.stopped,letterColor,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
33,33.0,33.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.9614758859970608,97.0893270529923,None,1.0,green,,,7.0,21.0,1.0,9.0,97.0893270529923,None
34,34.0,34.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.4635228230035864,98.55237460299395,None,1.0,blue,,,11.0,22.0,1.0,10.0,98.55237460299395,None
35,35.0,35.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.3601565739954822,99.52171850300509,None,1.0,blue,,,10.0,23.0,1.0,11.0,99.52171850300509,None
36,36.0,36.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,1.4478000859962776,100.38515581699906,None,1.0,green,,,5.0,24.0,2.0,0.0,100.38515581699906,None
37,37.0,37.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,1.3959858810121661,102.33693781899638,None,1.0,green,,,7.0,25.0,2.0,1.0,102.33693781899638,None
38,38.0,38.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.6243731009890325,104.23648849799065,None,1.0,green,,,4.0,26.0,2.0,2.0,104.23648849799065,None
39,39.0,39.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,1.1353415320045317,105.37032295000972,None,1.0,green,,,6.0,27.0,2.0,3.0,105.37032295000972,None
40,40.0,40.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.5501040920207743,107.02070790799915,None,1.0,blue,,,11.0,28.0,2.0,4.0,107.02070790799915,None
41,41.0,41.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,0.0,left,0.605537847004598,108.08822560901173,None,1.0,red,,,2.0,29.0,2.0,5.0,108.08822560901173,None
42,42.0,42.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,1.4749036529974546,109.20477639298772,None,1.0,red,,,1.0,30.0,2.0,6.0,109.20477639298772,None
43,43.0,43.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,1.480541669996455,111.18603245099077,None,1.0,blue,,,9.0,31.0,2.0,7.0,111.18603245099077,None
44,44.0,44.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.6341584289912134,113.17025630900751,None,1.0,blue,,,10.0,32.0,2.0,8.0,113.17025630900751,None
45,45.0,45.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.571194539021235,114.31831932498608,None,1.0,red,,,0.0,33.0,2.0,9.0,114.31831932498608,None
46,46.0,46.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.6563443240011111,115.40205228899141,None,1.0,blue,,,8.0,34.0,2.0,10.0,115.40205228899141,None
47,47.0,47.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.5429306729929522,116.57136532198635,None,1.0,red,,,3.0,35.0,2.0,11.0,116.57136532198635,None
48,48.0,48.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.8501538319978863,117.61821427999529,None,1.0,green,,,4.0,36.0,3.0,0.0,117.61821427999529,None
49,49.0,49.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,0.7311968930007424,118.97101228998508,None,1.0,red,,,2.0,37.0,3.0,1.0,118.97101228998508,None
50,50.0,50.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.7343806880235206,120.20382382598473,None,1.0,green,,,7.0,38.0,3.0,2.0,120.20382382598473,None
51,51.0,51.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.7383561169845052,121.45299623298342,None,1.0,blue,,,11.0,39.0,3.0,3.0,121.45299623298342,None
52,52.0,52.0,,incong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.948932547995355,122.70230771700152,None,1.0,red,,,3.0,40.0,3.0,4.0,122.70230771700152,None
53,53.0,53.0,,incong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,0.0,left,0.7187929380161222,124.15135021100286,None,1.0,blue,,,9.0,41.0,3.0,5.0,124.15135021100286,None
54,54.0,54.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,1.3170705999946222,125.38503243000014,None,1.0,green,,,6.0,42.0,3.0,6.0,125.38503243000014,None
55,55.0,55.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.5524766370072031,127.202655045985,None,1.0,red,,,0.0,43.0,3.0,7.0,127.202655045985,None
56,56.0,56.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,1.1932682209881025,128.26880173000973,None,1.0,blue,,,8.0,44.0,3.0,8.0,128.26880173000973,None
57,57.0,57.0,,cong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.5768761899962556,129.96804596399306,None,1.0,red,,,1.0,45.0,3.0,9.0,129.96804596399306,None
58,58.0,58.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.6050160609884188,131.05291106298682,None,1.0,blue,,,10.0,46.0,3.0,10.0,131.05291106298682,None
59,59.0,59.0,,cong,down,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,green,1.0,,,,,2020.1.2,1.0,down,0.6776941339776386,132.1702903439873,None,1.0,green,,,5.0,47.0,3.0,11.0,132.1702903439873,None
60,60.0,60.0,,cong,right,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,blue,1.0,,,,,2020.1.2,1.0,right,0.6877803029783536,133.3520138520107,None,1.0,blue,,,10.0,48.0,4.0,0.0,133.3520138520107,None
61,61.0,61.0,,incong,left,2020_Apr_04_1338,stroop,,,59.7418969568182,,,,,red,1.0,,,,,2020.1.2,1.0,left,0.5774512289790437,134.55129031199613,None,1.0,green,,,4.0,49.0,4.0,1.0,134.55129031199613,None
