setSize,posInSet,present,numberSet,target,corrAns,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,OK1.keys,OK1.rt,OK1.started,OK1.stopped,fixation.started,fixation.stopped,presentSet.started,presentSet.stopped,presentTarget.started,presentTarget.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instr2.started,instr2.stopped,OK2.keys,OK2.rt,OK2.started,OK2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,4,y,6 9 3 1,1,right,,,,,0,90,90,57,,,,,,,798.8392335749813,799.8510506860039,800.0178812840022,801.5162366500008,803.517884350993,None,left,0,0.7972691610048059,803.517884350993,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,1,y,8 7 3,8,right,,,,,0,91,91,22,,,,,,,804.3516290260013,805.3520052809909,805.5177449619805,807.0179629999911,809.015734946006,None,right,1,1.0283308509970084,809.015734946006,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,1,y,6 7 9 3 1 2,6,right,,,,,0,92,92,93,,,,,,,810.0715918570058,811.0834357279819,811.249378403998,812.7516973860038,814.7512444089807,None,right,1,0.9086557050177362,814.7512444089807,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,1 6 4,7,left,,,,,0,93,93,31,,,,,,,815.7009010189795,816.717508051981,816.8681832419825,818.3675296689908,820.3649868239881,None,left,1,1.0488840699836146,820.3649868239881,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,2,y,3 2 1 4 7,2,right,,,,,0,94,94,70,,,,,,,821.4377447789884,822.4510647029965,822.6174969380081,824.1195845209877,826.117402562988,None,right,1,0.8714062260114588,826.117402562988,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,4 8 1 2,7,left,,,,,0,95,95,55,,,,,,,827.0226236550079,828.033657033986,828.2011204249866,829.7021455219947,831.6983360250015,None,left,1,1.2052855789952446,831.6983360250015,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
1,1,y,7,7,right,,,,,0,96,96,4,,,,,,,832.9383095689991,833.9526939039933,834.1148553410021,835.6159113569884,837.615659033996,None,left,0,0.0012080130109097809,837.615659033996,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,8 5 4 2 9 6,3,left,,,,,0,97,97,114,,,,,,,837.6483655909833,838.65141111298,838.8351341819798,840.3343854699924,842.3346024880011,None,left,1,0.8944655210070778,842.3346024880011,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
6,--,n,5 3 8 7 2 4,9,left,,,,,0,98,98,122,,,,,,,843.2672089549887,844.2675194029871,844.4345427499793,845.950238571997,847.9310582930048,None,left,1,1.1730360539804678,847.9310582930048,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,2,y,6 5,5,right,,,,,0,99,99,16,,,,,,,849.1368859770009,850.1509252959804,850.3165426189953,851.8316710119834,853.815514048998,None,right,1,1.2802662589820102,853.815514048998,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,--,n,7 1 5 6 3,8,left,,,,,0,100,100,80,,,,,,,855.1214785350021,856.1340399009932,856.3011674399895,857.8023828209843,859.7976983900007,None,left,1,1.0737470230087638,859.7976983900007,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,--,n,6 8,9,left,,,,,0,101,101,7,,,,,,,860.9042755579867,861.9159741750045,862.0841413440066,863.5830910579825,865.5809388069902,None,left,1,1.3473517399979755,865.5809388069902,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
3,--,n,3 9 1,7,left,,,,,0,102,102,20,,,,,,,866.9533280909818,867.9660600119969,868.1315990689909,869.6328693350079,871.6305185509846,None,left,1,1.3177416740218177,871.6305185509846,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
5,5,y,7 8 6 3 1,1,right,,,,,0,103,103,87,,,,,,,872.9854421530035,873.9992760710011,874.1484788020025,875.6487834579893,877.6502641029947,None,right,1,1.567770246998407,877.6502641029947,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,6 7 5 9,2,left,,,,,0,104,104,43,,,,,,,879.2670353629801,880.2669140000071,880.4337647289794,881.9480720589927,883.9334646729985,None,left,1,0.941410444007488,883.9334646729985,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
2,--,n,8 9,5,left,,,,,0,105,105,6,,,,,,,884.9168349529791,885.9161504349904,886.0837406420032,887.5826659709855,889.5801536919898,None,left,1,0.8496830459916964,889.5801536919898,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,--,n,5 9 2 3,8,left,,,,,0,106,106,56,,,,,,,890.4665866009891,891.481597031001,891.6310309800028,893.1326915989921,895.1315567489946,None,left,1,0.7959065810136963,895.1315567489946,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,4,y,2 8 5 1,1,right,,,,,0,107,107,58,,,,,,,895.9534771799808,896.9648781849828,897.1309835739958,898.6318597369827,900.6332469059853,None,right,1,1.954279672994744,900.6332469059853,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
4,1,y,3 5 4 7,3,right,,,,,0,108,108,40,,,,,,,902.6328087110014,903.6330470289977,903.800866562,905.3000853459816,907.2994129819854,None,right,1,1.0597840670088772,907.2994129819854,None,,,,,,,,,01,02,2020_Apr_07_0856,sternberg,2020.1.2,60.27379673267539,
