,Unnamed: 0,Unnamed: 25,congruent,corrAns,date,expName,frameRate,instrText.started,instrText.stopped,letterColor,participant,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
43,,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.8479593879892491,49.24328242399497,None,1.0,blue,,,4.0,13.0,2.0,1.0,49.24328242399497,None
44,,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.6404008020181209,50.59273688000394,None,1.0,green,,,3.0,14.0,2.0,2.0,50.59273688000394,None
45,,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,1.3060872320202181,51.74098926800071,None,1.0,red,,,1.0,15.0,2.0,3.0,51.74098926800071,None
46,,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,0.7695643600018229,53.55945702799363,None,1.0,red,,,0.0,16.0,2.0,4.0,53.55945702799363,None
47,,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,0.9168195000092964,54.84309843700612,None,1.0,green,,,2.0,17.0,2.0,5.0,54.84309843700612,None
48,,,0.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,0.8667593720019795,56.27612657999271,None,1.0,green,,,3.0,18.0,3.0,0.0,56.27612657999271,None
49,,,1.0,right,2020_Apr_04_0835,stroop,60.05505258177558,,,blue,1.0,2020.1.2,1.0,right,1.001580551994266,57.658262490993366,None,1.0,blue,,,4.0,19.0,3.0,1.0,57.658262490993366,None
50,,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,0.0,left,1.8149727669951967,59.17493176899735,None,1.0,red,,,1.0,20.0,3.0,2.0,59.17493176899735,None
51,,,1.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,1.4889435109798796,61.49188600099296,None,1.0,red,,,0.0,21.0,3.0,3.0,61.49188600099296,None
52,,,0.0,left,2020_Apr_04_0835,stroop,60.05505258177558,,,red,1.0,2020.1.2,1.0,left,2.082919765991392,63.4938770349836,None,1.0,blue,,,5.0,22.0,3.0,4.0,63.4938770349836,None
53,,,1.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,0.0,right,0.6619299709855113,66.0936097369995,None,1.0,green,,,2.0,23.0,3.0,5.0,66.0936097369995,None
54,,,0.0,down,2020_Apr_04_0835,stroop,60.05505258177558,,,green,1.0,2020.1.2,1.0,down,1.5127920590166468,67.25768056098605,None,1.0,red,,,1.0,24.0,4.0,0.0,67.25768056098605,None
