text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
blue,red,left,incong,,,,,2,10,34,8,,,115.4020522889914,None,left,1,0.6563443240011111,115.4020522889914,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,blue,right,incong,,,,,2,11,35,3,,,116.57136532198638,None,right,1,0.5429306729929522,116.57136532198638,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,red,left,incong,,,,,3,0,36,4,,,117.6182142799953,None,left,1,0.8501538319978863,117.6182142799953,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,green,down,incong,,,,,3,1,37,2,,,118.97101228998508,None,down,1,0.7311968930007424,118.97101228998508,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,blue,right,incong,,,,,3,2,38,7,,,120.20382382598473,None,right,1,0.7343806880235206,120.20382382598473,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,3,3,39,11,,,121.45299623298342,None,right,1,0.7383561169845052,121.45299623298342,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,blue,right,incong,,,,,3,4,40,3,,,122.70230771700153,None,right,1,0.948932547995355,122.70230771700153,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,green,down,incong,,,,,3,5,41,9,,,124.15135021100286,None,left,0,0.7187929380161222,124.15135021100286,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,,,,,3,6,42,6,,,125.38503243000014,None,down,1,1.3170705999946222,125.38503243000014,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,,,,,3,7,43,0,,,127.20265504598501,None,left,1,0.552476637007203,127.20265504598501,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,red,left,incong,,,,,3,8,44,8,,,128.26880173000973,None,left,1,1.1932682209881023,128.26880173000973,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,,,,,3,9,45,1,,,129.96804596399306,None,left,1,0.5768761899962556,129.96804596399306,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,3,10,46,10,,,131.05291106298682,None,right,1,0.6050160609884188,131.05291106298682,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,,,,,3,11,47,5,,,132.1702903439873,None,down,1,0.6776941339776386,132.1702903439873,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,4,0,48,10,,,133.3520138520107,None,right,1,0.6877803029783536,133.3520138520107,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,red,left,incong,,,,,4,1,49,4,,,134.55129031199613,None,left,1,0.5774512289790437,134.55129031199613,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,red,left,incong,,,,,4,2,50,8,,,135.63798118699924,None,left,1,0.9729546789894812,135.63798118699924,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,,,,,4,3,51,1,,,137.1187477580097,None,left,1,1.194883543998003,137.1187477580097,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,green,down,incong,,,,,4,4,52,9,,,138.82068907198845,None,down,1,0.6831649869855028,138.82068907198845,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,red,left,cong,,,,,4,5,53,0,,,140.00260300200898,None,left,1,0.9371685629885178,140.00260300200898,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,,,,,4,6,54,6,,,141.45244699899922,None,down,1,0.7342109750024974,141.45244699899922,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,blue,right,incong,,,,,4,7,55,3,,,142.70103601299343,None,right,1,0.5937045459868386,142.70103601299343,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
blue,blue,right,cong,,,,,4,8,56,11,,,143.80459433500073,None,down,0,1.969996058003744,143.80459433500073,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,blue,right,incong,,,,,4,9,57,7,,,146.28429255599622,None,right,1,0.7282948950014543,146.28429255599622,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
green,green,down,cong,,,,,4,10,58,5,,,147.5195151049993,None,down,1,0.5330453980132006,147.5195151049993,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
red,green,down,incong,,,,,4,11,59,2,,,148.55170301298494,None,down,1,0.8848581250058487,148.55170301298494,None,,,,,,,01,01,2020_Apr_04_1338,stroop,2020.1.2,59.741896956818195,
,,,,,,,,,,,,,,,,,,,,,,,,,149.50996289998875,None,,,,,,,
