,text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,feedback_2.started,feedback_2.stopped,instrText.started,instrText.stopped,thanksText.started,thanksText.stopped,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
67,red,blue,right,incong,,,,,4.0,7.0,55.0,3.0,,,142.70103601299343,None,right,1.0,0.5937045459868386,142.70103601299343,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
68,blue,blue,right,cong,,,,,4.0,8.0,56.0,11.0,,,143.80459433500073,None,down,0.0,1.969996058003744,143.80459433500073,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
69,green,blue,right,incong,,,,,4.0,9.0,57.0,7.0,,,146.28429255599622,None,right,1.0,0.7282948950014543,146.28429255599622,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
70,green,green,down,cong,,,,,4.0,10.0,58.0,5.0,,,147.5195151049993,None,down,1.0,0.5330453980132006,147.5195151049993,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
71,red,green,down,incong,,,,,4.0,11.0,59.0,2.0,,,148.55170301298494,None,down,1.0,0.8848581250058487,148.55170301298494,None,,,,,,,1.0,1.0,2020_Apr_04_1338,stroop,2020.1.2,59.7418969568182,
72,green,blue,right,incong,0.0,0.0,0.0,7.0,,,,,8.79673763300525,None,11.14804120300687,None,right,1.0,3.0461921569949486,11.14804120300687,None,14.231644657993455,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
73,red,red,left,cong,0.0,1.0,1.0,1.0,,,,,,,15.69774975499604,None,left,1.0,0.4904120329883881,15.69774975499604,None,16.23235226899851,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
74,red,red,left,cong,0.0,2.0,2.0,0.0,,,,,,,17.713842372002546,None,left,1.0,0.3682479959970806,17.713842372002546,None,18.11858922400279,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
75,green,green,down,cong,0.0,3.0,3.0,5.0,,,,,,,19.612627833004808,None,down,1.0,0.3743392940086778,19.612627833004808,None,20.01229530799901,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
76,red,green,down,incong,0.0,4.0,4.0,2.0,,,,,,,21.485930087015728,None,down,1.0,0.868126982008107,21.485930087015728,None,22.389796728995858,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
77,blue,red,left,incong,0.0,5.0,5.0,8.0,,,,,,,23.87838260098943,None,left,1.0,0.6477257039805409,23.87838260098943,None,24.55009203701047,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
78,green,green,down,cong,0.0,6.0,6.0,6.0,,,,,,,26.048871672013767,None,down,1.0,0.7959341679816134,26.048871672013767,None,26.88248944701627,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
79,blue,blue,right,cong,0.0,7.0,7.0,11.0,,,,,,,28.34711690299445,None,right,1.0,0.6777031189994887,28.34711690299445,None,29.066269399016164,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
80,green,red,left,incong,0.0,8.0,8.0,4.0,,,,,,,30.547811269992962,None,left,1.0,0.6829030159860849,30.547811269992962,None,31.267851244017947,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
81,blue,green,down,incong,0.0,9.0,9.0,9.0,,,,,,,32.76315756799886,None,down,1.0,1.2956134019768797,32.76315756799886,None,34.09813953700359,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
82,red,blue,right,incong,0.0,10.0,10.0,3.0,,,,,,,35.57832201899146,None,right,1.0,0.6672715909953695,35.57832201899146,None,36.26707213599003,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
83,blue,blue,right,cong,0.0,11.0,11.0,10.0,,,,,,,37.74925043201074,None,right,1.0,0.7284098250092939,37.74925043201074,None,38.50239947999944,None,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
84,green,blue,right,incong,,,,,0.0,0.0,0.0,7.0,,,41.362807316996616,None,right,1.0,1.5266199830221012,41.362807316996616,None,,,39.53393412099104,None,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
85,red,red,left,cong,,,,,0.0,1.0,1.0,0.0,,,43.41485066100722,None,left,1.0,0.49079214601078996,43.41485066100722,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
86,blue,blue,right,cong,,,,,0.0,2.0,2.0,10.0,,,44.412796407996204,None,right,1.0,0.5124812670110259,44.412796407996204,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
87,green,red,left,incong,,,,,0.0,3.0,3.0,4.0,,,45.44753831101115,None,left,1.0,0.4567696209996938,45.44753831101115,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
88,blue,red,left,incong,,,,,0.0,4.0,4.0,8.0,,,46.41242349799722,None,left,1.0,0.5959666109993123,46.41242349799722,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
89,red,red,left,cong,,,,,0.0,5.0,5.0,1.0,,,47.51295132300585,None,left,1.0,0.4482804319995921,47.51295132300585,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
90,blue,blue,right,cong,,,,,0.0,6.0,6.0,11.0,,,48.4652315590065,None,right,1.0,0.4301346899883356,48.4652315590065,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
91,green,green,down,cong,,,,,0.0,7.0,7.0,6.0,,,49.402289688994635,None,down,1.0,0.7378668380260933,49.402289688994635,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
92,blue,green,down,incong,,,,,0.0,8.0,8.0,9.0,,,50.648162433004465,None,down,1.0,0.3789197680016514,50.648162433004465,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
93,red,blue,right,incong,,,,,0.0,9.0,9.0,3.0,,,51.52911514401785,None,right,1.0,0.4381059260049369,51.52911514401785,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
94,red,green,down,incong,,,,,0.0,10.0,10.0,2.0,,,52.480995655001614,None,down,1.0,1.704156238003634,52.480995655001614,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
95,green,green,down,cong,,,,,0.0,11.0,11.0,5.0,,,54.6947216730041,None,down,1.0,0.8062926720012911,54.6947216730041,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
96,green,green,down,cong,,,,,1.0,0.0,12.0,6.0,,,56.0150473730173,None,down,1.0,0.44609302197932266,56.0150473730173,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
97,green,blue,right,incong,,,,,1.0,1.0,13.0,7.0,,,56.95069329199032,None,right,1.0,0.8074286599876359,56.95069329199032,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
98,red,blue,right,incong,,,,,1.0,2.0,14.0,3.0,,,58.252427711995544,None,right,1.0,0.8824004940106533,58.252427711995544,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
99,red,red,left,cong,,,,,1.0,3.0,15.0,0.0,,,59.64689744499629,None,left,1.0,0.5710113850072958,59.64689744499629,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
100,green,red,left,incong,,,,,1.0,4.0,16.0,4.0,,,60.72761490501579,None,left,1.0,1.2743393080017995,60.72761490501579,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
101,green,green,down,cong,,,,,1.0,5.0,17.0,5.0,,,62.51325765901129,None,down,1.0,0.6376980500062928,62.51325765901129,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
102,blue,green,down,incong,,,,,1.0,6.0,18.0,9.0,,,63.66204036201815,None,down,1.0,1.0966435169975741,63.66204036201815,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
103,red,red,left,cong,,,,,1.0,7.0,19.0,1.0,,,65.26218242300092,None,left,1.0,0.7254886020091362,65.26218242300092,None,,,,,,,2.0,1.0,2020_Apr_04_1340,stroop,2020.1.2,59.51995277192287,
